id,name,nameHe,startDate,endDate,description,descriptionHe,link
exile-slavery-egypt,Slavery in Egypt,שעבוד מצרים,2332,15 Nisan 2448,Israelite bondage in Egypt,שעבוד בני ישראל במצרים,
exile-asyria,Asyrian Exile,גלות אשור,,3205,Kingdom of Israel (the ten tribes) is taken to exile by the Asyrian Empire,ממלכת ישראל (עשרת השבטים) נלקחת לגלות על ידי אשור,https://en.wikipedia.org/wiki/Assyrian_captivity
exile-baylon,Babylonian Exile,גלות בבל,3338,3408,Kingdom of Judah (Judah, Benjamin, Levi) is taken to exile in Babylon
exile-roman,Roman Exile (Galut Edom),גלות אדום – גלות רומי,9 Av 3828,5 Iyar 5708,Destruction of the Second Temple (9 Av 3828 / 70 CE) dispersed Jews throughout the Roman Empire and later the entire world; the Great Exile lasted until Israel's independence in 1948,חורבן בית המקדש השני (ט' באב ג'תתכ''ח / 70 לסה''נ) פיזר יהודים ברחבי האימפריה הרומית ולאחר מכן בכל העולם; הגלות הגדולה נמשכה עד עצמאות ישראל ב-1948,https://en.wikipedia.org/wiki/Siege_of_Jerusalem_(70_CE)
exile-bar-kokhba,Expulsion from Judea (Bar Kokhba),גלות יהודה,3892,3896,After crushing the Bar Kokhba revolt (132–135 CE) Hadrian expelled Jews from Judea and renamed it Syria Palaestina; Jews were forbidden from entering Jerusalem under pain of death,לאחר דיכוי מרד בר כוכבא גלה הדריינוס יהודים מיהודה ושינה שמה לסוריה פלסטינה; יהודים נאסרו להיכנס לירושלים בעונש מוות,https://en.wikipedia.org/wiki/Bar_Kokhba_revolt
exile-france-1182,Expulsion from France (Philip Augustus),גירוש יהודים מצרפת 1182,,4942,Philip Augustus expelled the Jews of France in 1182 and seized their property and synagogues; Jews were temporarily readmitted in 1198,פיליפ אוגוסטוס גירש יהודים מצרפת ב-1182 ותפס את רכושם ובתי כנסיותיהם; יהודים הורשו לחזור זמנית ב-1198,https://en.wikipedia.org/wiki/History_of_the_Jews_in_France
exile-england,Expulsion from England,גירוש יהודים מאנגליה,9 Av 5050,5416,Edward I's Edict of Expulsion (9 Av 5050 / 18 July 1290) expelled all Jews from England; they were readmitted by Oliver Cromwell in 1655–1656,צו הגירוש של אדוארד הראשון (ט' באב ה'נ / 18 ביולי 1290) גירש את כל יהודי אנגליה; הורשו לחזור בידי קרומוול ב-1655–1656,https://en.wikipedia.org/wiki/Edict_of_Expulsion
exile-france-1394,Expulsion from France (Charles VI),גירוש יהודים מצרפת 1394,5154,5552,Charles VI's 1394 decree definitively expelled Jews from France for nearly four centuries; Jewish emancipation in France came only with the Revolution in 1791,צו שארל השישי 1394 גירש יהודים מצרפת לכמעט ארבע מאות שנה; שחרור יהודים בצרפת בא רק עם המהפכה ב-1791,https://en.wikipedia.org/wiki/Expulsions_and_exoduses_of_Jews
exile-spain,Expulsion from Spain (Alhambra Decree),גירוש ספרד,9 Av 5252,5729,"The Alhambra Decree (signed 1 Nisan 5252 / 31 March 1492) expelled 200,000–300,000 Jews from Spain; the last Jews departed on 9 Av 5252; the decree was formally rescinded only in 1968","צו אלהמברה (נחתם א' ניסן ה'רנ''ב / 31 מרץ 1492) גירש 200,000–300,000 יהודים מספרד; האחרונים עזבו ב-ט' באב ה'רנ''ב; הצו בוטל רשמית ב-1968",https://en.wikipedia.org/wiki/Alhambra_Decree
exile-portugal,Expulsion from Portugal,גירוש פורטוגל,,5257,Jews were expelled from Portugal in 1496 or forced to convert; many continued practicing Judaism secretly as Anusim; their descendants are known as Bnei Anusim,יהודים גורשו מפורטוגל ב-1496 או נאלצו להתנצר; רבים המשיכו לקיים מצוות בסתר כאנוסים; צאצאיהם מכונים בני אנוסים,https://en.wikipedia.org/wiki/Expulsion_of_Jews_and_Muslims_from_Portugal
